signal_date,signal_category,signal_event,signal_ticker,horizon_d,target_date,status,ret_pct_HYG,diff_VIX,ret_pct_SPY,ret_pct_QQQ,ret_pct_IWM,ret_pct_RSP,diff_VIX9D,diff_TNX
1987-07-28,F1,RSI extreme (control),TNX,1,1987-07-29,ready,,,,,,,,-0.010000228881835938
1987-07-28,F1,RSI extreme (control),TNX,5,1987-08-04,ready,,,,,,,,0.1900005340576172
1987-07-28,F1,RSI extreme (control),TNX,10,1987-08-11,ready,,,,,,,,0.1099996566772461
1987-07-28,F1,RSI extreme (control),TNX,15,1987-08-18,ready,,,,,,,,0.1099996566772461
1987-07-28,F1,RSI extreme (control),TNX,20,1987-08-25,ready,,,,,,,,0.1099996566772461
1987-07-30,F1,RSI extreme (control),TNX,1,1987-07-31,ready,,,,,,,,0.05000019073486328
1987-07-30,F1,RSI extreme (control),TNX,5,1987-08-06,ready,,,,,,,,0.11999988555908203
1987-07-30,F1,RSI extreme (control),TNX,10,1987-08-13,ready,,,,,,,,0.020000457763671875
1987-07-30,F1,RSI extreme (control),TNX,15,1987-08-20,ready,,,,,,,,0.13000011444091797
1987-07-30,F1,RSI extreme (control),TNX,20,1987-08-27,ready,,,,,,,,0.3100004196166992
1987-07-31,F1,RSI extreme (control),TNX,1,1987-08-03,ready,,,,,,,,0.15000057220458984
1987-07-31,F1,RSI extreme (control),TNX,5,1987-08-07,ready,,,,,,,,0.039999961853027344
1987-07-31,F1,RSI extreme (control),TNX,10,1987-08-14,ready,,,,,,,,-0.07999992370605469
1987-07-31,F1,RSI extreme (control),TNX,15,1987-08-21,ready,,,,,,,,0.1100006103515625
1987-07-31,F1,RSI extreme (control),TNX,20,1987-08-28,ready,,,,,,,,0.3600006103515625
1987-08-03,F1,RSI extreme (control),TNX,1,1987-08-04,ready,,,,,,,,0.0
1987-08-03,F1,RSI extreme (control),TNX,5,1987-08-10,ready,,,,,,,,-0.07000064849853516
1987-08-03,F1,RSI extreme (control),TNX,10,1987-08-17,ready,,,,,,,,-0.25
1987-08-03,F1,RSI extreme (control),TNX,15,1987-08-24,ready,,,,,,,,-0.030000686645507812
1987-08-03,F1,RSI extreme (control),TNX,20,1987-08-31,ready,,,,,,,,0.18999958038330078
1987-08-03,F2,Bollinger Band breach (control),TNX,1,1987-08-04,ready,,,,,,,,0.0
1987-08-03,F2,Bollinger Band breach (control),TNX,5,1987-08-10,ready,,,,,,,,-0.07000064849853516
1987-08-03,F2,Bollinger Band breach (control),TNX,10,1987-08-17,ready,,,,,,,,-0.25
1987-08-03,F2,Bollinger Band breach (control),TNX,15,1987-08-24,ready,,,,,,,,-0.030000686645507812
1987-08-03,F2,Bollinger Band breach (control),TNX,20,1987-08-31,ready,,,,,,,,0.18999958038330078
1987-08-04,F1,RSI extreme (control),TNX,1,1987-08-05,ready,,,,,,,,-0.10000038146972656
1987-08-04,F1,RSI extreme (control),TNX,5,1987-08-11,ready,,,,,,,,-0.0800008773803711
1987-08-04,F1,RSI extreme (control),TNX,10,1987-08-18,ready,,,,,,,,-0.0800008773803711
1987-08-04,F1,RSI extreme (control),TNX,15,1987-08-25,ready,,,,,,,,-0.0800008773803711
1987-08-04,F1,RSI extreme (control),TNX,20,1987-09-01,ready,,,,,,,,0.23999977111816406
1987-08-05,F1,RSI extreme (control),TNX,1,1987-08-06,ready,,,,,,,,0.01999950408935547
1987-08-05,F1,RSI extreme (control),TNX,5,1987-08-12,ready,,,,,,,,0.010000228881835938
1987-08-05,F1,RSI extreme (control),TNX,10,1987-08-19,ready,,,,,,,,0.06000041961669922
1987-08-05,F1,RSI extreme (control),TNX,15,1987-08-26,ready,,,,,,,,0.07999992370605469
1987-08-05,F1,RSI extreme (control),TNX,20,1987-09-02,ready,,,,,,,,0.5699996948242188
1987-08-06,F1,RSI extreme (control),TNX,1,1987-08-07,ready,,,,,,,,-0.029999732971191406
1987-08-06,F1,RSI extreme (control),TNX,5,1987-08-13,ready,,,,,,,,-0.09999942779541016
1987-08-06,F1,RSI extreme (control),TNX,10,1987-08-20,ready,,,,,,,,0.010000228881835938
1987-08-06,F1,RSI extreme (control),TNX,15,1987-08-27,ready,,,,,,,,0.1900005340576172
1987-08-06,F1,RSI extreme (control),TNX,20,1987-09-03,ready,,,,,,,,0.5600004196166992
1987-08-07,F1,RSI extreme (control),TNX,1,1987-08-10,ready,,,,,,,,0.039999961853027344
1987-08-07,F1,RSI extreme (control),TNX,5,1987-08-14,ready,,,,,,,,-0.11999988555908203
1987-08-07,F1,RSI extreme (control),TNX,10,1987-08-21,ready,,,,,,,,0.07000064849853516
1987-08-07,F1,RSI extreme (control),TNX,15,1987-08-28,ready,,,,,,,,0.32000064849853516
1987-08-07,F1,RSI extreme (control),TNX,20,1987-09-04,ready,,,,,,,,0.6000003814697266
1987-08-10,F1,RSI extreme (control),TNX,1,1987-08-11,ready,,,,,,,,-0.010000228881835938
1987-08-10,F1,RSI extreme (control),TNX,5,1987-08-17,ready,,,,,,,,-0.17999935150146484
1987-08-10,F1,RSI extreme (control),TNX,10,1987-08-24,ready,,,,,,,,0.039999961853027344
1987-08-10,F1,RSI extreme (control),TNX,15,1987-08-31,ready,,,,,,,,0.26000022888183594
1987-08-10,F1,RSI extreme (control),TNX,20,1987-09-08,ready,,,,,,,,0.7600002288818359
1987-08-27,F2,Bollinger Band breach (control),TNX,1,1987-08-28,ready,,,,,,,,0.10000038146972656
1987-08-27,F2,Bollinger Band breach (control),TNX,5,1987-09-03,ready,,,,,,,,0.36999988555908203
1987-08-27,F2,Bollinger Band breach (control),TNX,10,1987-09-11,ready,,,,,,,,0.4099998474121094
1987-08-27,F2,Bollinger Band breach (control),TNX,15,1987-09-18,ready,,,,,,,,0.46000003814697266
1987-08-27,F2,Bollinger Band breach (control),TNX,20,1987-09-25,ready,,,,,,,,0.6099996566772461
1987-08-28,F2,Bollinger Band breach (control),TNX,1,1987-08-31,ready,,,,,,,,-0.020000457763671875
1987-08-28,F2,Bollinger Band breach (control),TNX,5,1987-09-04,ready,,,,,,,,0.2799997329711914
1987-08-28,F2,Bollinger Band breach (control),TNX,10,1987-09-14,ready,,,,,,,,0.31999969482421875
1987-08-28,F2,Bollinger Band breach (control),TNX,15,1987-09-21,ready,,,,,,,,0.42999935150146484
1987-08-28,F2,Bollinger Band breach (control),TNX,20,1987-09-28,ready,,,,,,,,0.5
1987-08-31,F2,Bollinger Band breach (control),TNX,1,1987-09-01,ready,,,,,,,,0.05000019073486328
1987-08-31,F2,Bollinger Band breach (control),TNX,5,1987-09-08,ready,,,,,,,,0.5
1987-08-31,F2,Bollinger Band breach (control),TNX,10,1987-09-15,ready,,,,,,,,0.4399995803833008
1987-08-31,F2,Bollinger Band breach (control),TNX,15,1987-09-22,ready,,,,,,,,0.36999988555908203
1987-08-31,F2,Bollinger Band breach (control),TNX,20,1987-09-29,ready,,,,,,,,0.6400003433227539
1987-09-01,F2,Bollinger Band breach (control),TNX,1,1987-09-02,ready,,,,,,,,0.22999954223632812
1987-09-01,F2,Bollinger Band breach (control),TNX,5,1987-09-09,ready,,,,,,,,0.42999935150146484
1987-09-01,F2,Bollinger Band breach (control),TNX,10,1987-09-16,ready,,,,,,,,0.4700002670288086
1987-09-01,F2,Bollinger Band breach (control),TNX,15,1987-09-23,ready,,,,,,,,0.34999942779541016
1987-09-01,F2,Bollinger Band breach (control),TNX,20,1987-09-30,ready,,,,,,,,0.5799999237060547
1987-09-02,F1,RSI extreme (control),TNX,1,1987-09-03,ready,,,,,,,,0.010000228881835938
1987-09-02,F1,RSI extreme (control),TNX,5,1987-09-10,ready,,,,,,,,0.1400003433227539
1987-09-02,F1,RSI extreme (control),TNX,10,1987-09-17,ready,,,,,,,,0.19999980926513672
1987-09-02,F1,RSI extreme (control),TNX,15,1987-09-24,ready,,,,,,,,0.23000049591064453
1987-09-02,F1,RSI extreme (control),TNX,20,1987-10-01,ready,,,,,,,,0.38000011444091797
1987-09-02,F2,Bollinger Band breach (control),TNX,1,1987-09-03,ready,,,,,,,,0.010000228881835938
1987-09-02,F2,Bollinger Band breach (control),TNX,5,1987-09-10,ready,,,,,,,,0.1400003433227539
1987-09-02,F2,Bollinger Band breach (control),TNX,10,1987-09-17,ready,,,,,,,,0.19999980926513672
1987-09-02,F2,Bollinger Band breach (control),TNX,15,1987-09-24,ready,,,,,,,,0.23000049591064453
1987-09-02,F2,Bollinger Band breach (control),TNX,20,1987-10-01,ready,,,,,,,,0.38000011444091797
1987-09-03,F1,RSI extreme (control),TNX,1,1987-09-04,ready,,,,,,,,0.010000228881835938
1987-09-03,F1,RSI extreme (control),TNX,5,1987-09-11,ready,,,,,,,,0.039999961853027344
1987-09-03,F1,RSI extreme (control),TNX,10,1987-09-18,ready,,,,,,,,0.09000015258789062
1987-09-03,F1,RSI extreme (control),TNX,15,1987-09-25,ready,,,,,,,,0.23999977111816406
1987-09-03,F1,RSI extreme (control),TNX,20,1987-10-02,ready,,,,,,,,0.3100004196166992
1987-09-03,F2,Bollinger Band breach (control),TNX,1,1987-09-04,ready,,,,,,,,0.010000228881835938
1987-09-03,F2,Bollinger Band breach (control),TNX,5,1987-09-11,ready,,,,,,,,0.039999961853027344
1987-09-03,F2,Bollinger Band breach (control),TNX,10,1987-09-18,ready,,,,,,,,0.09000015258789062
1987-09-03,F2,Bollinger Band breach (control),TNX,15,1987-09-25,ready,,,,,,,,0.23999977111816406
1987-09-03,F2,Bollinger Band breach (control),TNX,20,1987-10-02,ready,,,,,,,,0.3100004196166992
1987-09-04,F1,RSI extreme (control),TNX,1,1987-09-08,ready,,,,,,,,0.19999980926513672
1987-09-04,F1,RSI extreme (control),TNX,5,1987-09-14,ready,,,,,,,,0.039999961853027344
1987-09-04,F1,RSI extreme (control),TNX,10,1987-09-21,ready,,,,,,,,0.14999961853027344
1987-09-04,F1,RSI extreme (control),TNX,15,1987-09-28,ready,,,,,,,,0.2200002670288086
1987-09-04,F1,RSI extreme (control),TNX,20,1987-10-05,ready,,,,,,,,0.3899993896484375
1987-09-08,F1,RSI extreme (control),TNX,1,1987-09-09,ready,,,,,,,,-0.020000457763671875
1987-09-08,F1,RSI extreme (control),TNX,5,1987-09-15,ready,,,,,,,,-0.06000041961669922
1987-09-08,F1,RSI extreme (control),TNX,10,1987-09-22,ready,,,,,,,,-0.13000011444091797
1987-09-08,F1,RSI extreme (control),TNX,15,1987-09-29,ready,,,,,,,,0.1400003433227539
1987-09-08,F1,RSI extreme (control),TNX,20,1987-10-06,ready,,,,,,,,0.2200002670288086
1987-09-08,F2,Bollinger Band breach (control),TNX,1,1987-09-09,ready,,,,,,,,-0.020000457763671875
1987-09-08,F2,Bollinger Band breach (control),TNX,5,1987-09-15,ready,,,,,,,,-0.06000041961669922
1987-09-08,F2,Bollinger Band breach (control),TNX,10,1987-09-22,ready,,,,,,,,-0.13000011444091797
1987-09-08,F2,Bollinger Band breach (control),TNX,15,1987-09-29,ready,,,,,,,,0.1400003433227539
1987-09-08,F2,Bollinger Band breach (control),TNX,20,1987-10-06,ready,,,,,,,,0.2200002670288086
1987-09-09,F1,RSI extreme (control),TNX,1,1987-09-10,ready,,,,,,,,-0.05999946594238281
1987-09-09,F1,RSI extreme (control),TNX,5,1987-09-16,ready,,,,,,,,0.04000091552734375
1987-09-09,F1,RSI extreme (control),TNX,10,1987-09-23,ready,,,,,,,,-0.07999992370605469
1987-09-09,F1,RSI extreme (control),TNX,15,1987-09-30,ready,,,,,,,,0.15000057220458984
1987-09-09,F1,RSI extreme (control),TNX,20,1987-10-07,ready,,,,,,,,0.23000049591064453
1987-09-10,F1,RSI extreme (control),TNX,1,1987-09-11,ready,,,,,,,,-0.09000015258789062
1987-09-10,F1,RSI extreme (control),TNX,5,1987-09-17,ready,,,,,,,,0.05999946594238281
1987-09-10,F1,RSI extreme (control),TNX,10,1987-09-24,ready,,,,,,,,0.09000015258789062
1987-09-10,F1,RSI extreme (control),TNX,15,1987-10-01,ready,,,,,,,,0.23999977111816406
1987-09-10,F1,RSI extreme (control),TNX,20,1987-10-08,ready,,,,,,,,0.4399995803833008
1987-09-11,F1,RSI extreme (control),TNX,1,1987-09-14,ready,,,,,,,,0.010000228881835938
1987-09-11,F1,RSI extreme (control),TNX,5,1987-09-18,ready,,,,,,,,0.05000019073486328
1987-09-11,F1,RSI extreme (control),TNX,10,1987-09-25,ready,,,,,,,,0.19999980926513672
1987-09-11,F1,RSI extreme (control),TNX,15,1987-10-02,ready,,,,,,,,0.2700004577636719
1987-09-11,F1,RSI extreme (control),TNX,20,1987-10-09,ready,,,,,,,,0.6099996566772461
1987-09-14,F1,RSI extreme (control),TNX,1,1987-09-15,ready,,,,,,,,0.09999942779541016
1987-09-14,F1,RSI extreme (control),TNX,5,1987-09-21,ready,,,,,,,,0.1099996566772461
1987-09-14,F1,RSI extreme (control),TNX,10,1987-09-28,ready,,,,,,,,0.18000030517578125
1987-09-14,F1,RSI extreme (control),TNX,15,1987-10-05,ready,,,,,,,,0.34999942779541016
1987-09-14,F1,RSI extreme (control),TNX,20,1987-10-13,ready,,,,,,,,0.5599994659423828
1987-09-15,F1,RSI extreme (control),TNX,1,1987-09-16,ready,,,,,,,,0.0800008773803711
1987-09-15,F1,RSI extreme (control),TNX,5,1987-09-22,ready,,,,,,,,-0.06999969482421875
1987-09-15,F1,RSI extreme (control),TNX,10,1987-09-29,ready,,,,,,,,0.20000076293945312
1987-09-15,F1,RSI extreme (control),TNX,15,1987-10-06,ready,,,,,,,,0.2800006866455078
1987-09-15,F1,RSI extreme (control),TNX,20,1987-10-14,ready,,,,,,,,0.6900005340576172
1987-09-16,F1,RSI extreme (control),TNX,1,1987-09-17,ready,,,,,,,,-0.04000091552734375
1987-09-16,F1,RSI extreme (control),TNX,5,1987-09-23,ready,,,,,,,,-0.12000083923339844
1987-09-16,F1,RSI extreme (control),TNX,10,1987-09-30,ready,,,,,,,,0.1099996566772461
1987-09-16,F1,RSI extreme (control),TNX,15,1987-10-07,ready,,,,,,,,0.18999958038330078
1987-09-16,F1,RSI extreme (control),TNX,20,1987-10-15,ready,,,,,,,,0.6599998474121094
1987-09-17,F1,RSI extreme (control),TNX,1,1987-09-18,ready,,,,,,,,-0.09999942779541016
1987-09-17,F1,RSI extreme (control),TNX,5,1987-09-24,ready,,,,,,,,0.030000686645507812
1987-09-17,F1,RSI extreme (control),TNX,10,1987-10-01,ready,,,,,,,,0.18000030517578125
1987-09-17,F1,RSI extreme (control),TNX,15,1987-10-08,ready,,,,,,,,0.38000011444091797
1987-09-17,F1,RSI extreme (control),TNX,20,1987-10-16,ready,,,,,,,,0.75
1987-09-21,F1,RSI extreme (control),TNX,1,1987-09-22,ready,,,,,,,,-0.07999992370605469
1987-09-21,F1,RSI extreme (control),TNX,5,1987-09-28,ready,,,,,,,,0.07000064849853516
1987-09-21,F1,RSI extreme (control),TNX,10,1987-10-05,ready,,,,,,,,0.23999977111816406
1987-09-21,F1,RSI extreme (control),TNX,15,1987-10-13,ready,,,,,,,,0.4499998092651367
1987-09-21,F1,RSI extreme (control),TNX,20,1987-10-20,ready,,,,,,,,-0.05000019073486328
1987-10-01,F1,RSI extreme (control),TNX,1,1987-10-02,ready,,,,,,,,-0.05999946594238281
1987-10-01,F1,RSI extreme (control),TNX,5,1987-10-08,ready,,,,,,,,0.19999980926513672
1987-10-01,F1,RSI extreme (control),TNX,10,1987-10-16,ready,,,,,,,,0.5699996948242188
1987-10-01,F1,RSI extreme (control),TNX,15,1987-10-23,ready,,,,,,,,-0.6800003051757812
1987-10-01,F1,RSI extreme (control),TNX,20,1987-10-30,ready,,,,,,,,-0.7799997329711914
1987-10-08,F1,RSI extreme (control),TNX,1,1987-10-09,ready,,,,,,,,0.07999992370605469
1987-10-08,F1,RSI extreme (control),TNX,5,1987-10-16,ready,,,,,,,,0.36999988555908203
1987-10-08,F1,RSI extreme (control),TNX,10,1987-10-23,ready,,,,,,,,-0.880000114440918
1987-10-08,F1,RSI extreme (control),TNX,15,1987-10-30,ready,,,,,,,,-0.9799995422363281
1987-10-08,F1,RSI extreme (control),TNX,20,1987-11-06,ready,,,,,,,,-1.0999994277954102
1987-10-08,F2,Bollinger Band breach (control),TNX,1,1987-10-09,ready,,,,,,,,0.07999992370605469
1987-10-08,F2,Bollinger Band breach (control),TNX,5,1987-10-16,ready,,,,,,,,0.36999988555908203
1987-10-08,F2,Bollinger Band breach (control),TNX,10,1987-10-23,ready,,,,,,,,-0.880000114440918
1987-10-08,F2,Bollinger Band breach (control),TNX,15,1987-10-30,ready,,,,,,,,-0.9799995422363281
1987-10-08,F2,Bollinger Band breach (control),TNX,20,1987-11-06,ready,,,,,,,,-1.0999994277954102
1987-10-09,F1,RSI extreme (control),TNX,1,1987-10-13,ready,,,,,,,,-0.039999961853027344
1987-10-09,F1,RSI extreme (control),TNX,5,1987-10-19,ready,,,,,,,,0.21000003814697266
1987-10-09,F1,RSI extreme (control),TNX,10,1987-10-26,ready,,,,,,,,-1.1399993896484375
1987-10-09,F1,RSI extreme (control),TNX,15,1987-11-02,ready,,,,,,,,-0.9600000381469727
1987-10-09,F1,RSI extreme (control),TNX,20,1987-11-09,ready,,,,,,,,-1.1599998474121094
1987-10-09,F2,Bollinger Band breach (control),TNX,1,1987-10-13,ready,,,,,,,,-0.039999961853027344
1987-10-09,F2,Bollinger Band breach (control),TNX,5,1987-10-19,ready,,,,,,,,0.21000003814697266
1987-10-09,F2,Bollinger Band breach (control),TNX,10,1987-10-26,ready,,,,,,,,-1.1399993896484375
1987-10-09,F2,Bollinger Band breach (control),TNX,15,1987-11-02,ready,,,,,,,,-0.9600000381469727
1987-10-09,F2,Bollinger Band breach (control),TNX,20,1987-11-09,ready,,,,,,,,-1.1599998474121094
1987-10-13,F1,RSI extreme (control),TNX,1,1987-10-14,ready,,,,,,,,0.23000049591064453
1987-10-13,F1,RSI extreme (control),TNX,5,1987-10-20,ready,,,,,,,,-0.5
1987-10-13,F1,RSI extreme (control),TNX,10,1987-10-27,ready,,,,,,,,-0.9799995422363281
1987-10-13,F1,RSI extreme (control),TNX,15,1987-11-03,ready,,,,,,,,-0.9899997711181641
1987-10-13,F1,RSI extreme (control),TNX,20,1987-11-10,ready,,,,,,,,-1.109999656677246
1987-10-14,F1,RSI extreme (control),TNX,1,1987-10-15,ready,,,,,,,,0.05000019073486328
1987-10-14,F1,RSI extreme (control),TNX,5,1987-10-21,ready,,,,,,,,-0.8299999237060547
1987-10-14,F1,RSI extreme (control),TNX,10,1987-10-28,ready,,,,,,,,-1.119999885559082
1987-10-14,F1,RSI extreme (control),TNX,15,1987-11-04,ready,,,,,,,,-1.2799997329711914
1987-10-14,F1,RSI extreme (control),TNX,20,1987-11-12,ready,,,,,,,,-1.3299999237060547
1987-10-14,F2,Bollinger Band breach (control),TNX,1,1987-10-15,ready,,,,,,,,0.05000019073486328
1987-10-14,F2,Bollinger Band breach (control),TNX,5,1987-10-21,ready,,,,,,,,-0.8299999237060547
1987-10-14,F2,Bollinger Band breach (control),TNX,10,1987-10-28,ready,,,,,,,,-1.119999885559082
1987-10-14,F2,Bollinger Band breach (control),TNX,15,1987-11-04,ready,,,,,,,,-1.2799997329711914
1987-10-14,F2,Bollinger Band breach (control),TNX,20,1987-11-12,ready,,,,,,,,-1.3299999237060547
1987-10-15,F1,RSI extreme (control),TNX,1,1987-10-16,ready,,,,,,,,0.049999237060546875
1987-10-15,F1,RSI extreme (control),TNX,5,1987-10-22,ready,,,,,,,,-1.2100000381469727
1987-10-15,F1,RSI extreme (control),TNX,10,1987-10-29,ready,,,,,,,,-1.2899999618530273
1987-10-15,F1,RSI extreme (control),TNX,15,1987-11-05,ready,,,,,,,,-1.4600000381469727
1987-10-15,F1,RSI extreme (control),TNX,20,1987-11-13,ready,,,,,,,,-1.3400001525878906
1987-10-15,F2,Bollinger Band breach (control),TNX,1,1987-10-16,ready,,,,,,,,0.049999237060546875
1987-10-15,F2,Bollinger Band breach (control),TNX,5,1987-10-22,ready,,,,,,,,-1.2100000381469727
1987-10-15,F2,Bollinger Band breach (control),TNX,10,1987-10-29,ready,,,,,,,,-1.2899999618530273
1987-10-15,F2,Bollinger Band breach (control),TNX,15,1987-11-05,ready,,,,,,,,-1.4600000381469727
1987-10-15,F2,Bollinger Band breach (control),TNX,20,1987-11-13,ready,,,,,,,,-1.3400001525878906
1987-10-16,F1,RSI extreme (control),TNX,1,1987-10-19,ready,,,,,,,,-0.07999992370605469
1987-10-16,F1,RSI extreme (control),TNX,5,1987-10-23,ready,,,,,,,,-1.25
1987-10-16,F1,RSI extreme (control),TNX,10,1987-10-30,ready,,,,,,,,-1.3499994277954102
1987-10-16,F1,RSI extreme (control),TNX,15,1987-11-06,ready,,,,,,,,-1.4699993133544922
1987-10-16,F1,RSI extreme (control),TNX,20,1987-11-16,ready,,,,,,,,-1.4099998474121094
1987-10-16,F2,Bollinger Band breach (control),TNX,1,1987-10-19,ready,,,,,,,,-0.07999992370605469
1987-10-16,F2,Bollinger Band breach (control),TNX,5,1987-10-23,ready,,,,,,,,-1.25
1987-10-16,F2,Bollinger Band breach (control),TNX,10,1987-10-30,ready,,,,,,,,-1.3499994277954102
1987-10-16,F2,Bollinger Band breach (control),TNX,15,1987-11-06,ready,,,,,,,,-1.4699993133544922
1987-10-16,F2,Bollinger Band breach (control),TNX,20,1987-11-16,ready,,,,,,,,-1.4099998474121094
1987-10-19,F1,RSI extreme (control),TNX,1,1987-10-20,ready,,,,,,,,-0.75
1987-10-19,F1,RSI extreme (control),TNX,5,1987-10-26,ready,,,,,,,,-1.3499994277954102
1987-10-19,F1,RSI extreme (control),TNX,10,1987-11-02,ready,,,,,,,,-1.1700000762939453
1987-10-19,F1,RSI extreme (control),TNX,15,1987-11-09,ready,,,,,,,,-1.369999885559082
1987-10-19,F1,RSI extreme (control),TNX,20,1987-11-17,ready,,,,,,,,-1.2899999618530273
1987-10-22,F2,Bollinger Band breach (control),TNX,1,1987-10-23,ready,,,,,,,,0.009999275207519531
1987-10-22,F2,Bollinger Band breach (control),TNX,5,1987-10-29,ready,,,,,,,,-0.07999992370605469
1987-10-22,F2,Bollinger Band breach (control),TNX,10,1987-11-05,ready,,,,,,,,-0.25
1987-10-22,F2,Bollinger Band breach (control),TNX,15,1987-11-13,ready,,,,,,,,-0.13000011444091797
